0	1327.5
1	1241
2	1028.5
3	667.5
4	460.5
5	294
6	160.5
7	115
8	85.5
9	99
10	175
11	236.5
12	510
13	636
14	918.5
15	1096.5
16	1320
17	1365.5
18	1275
19	1105
20	847.5
21	580.5
22	446.5
23	225
24	77
25	95
26	74
27	86
28	110.5
29	216
30	351
31	476.5
32	781
33	1009.5
34	1207
35	1334.5
36	1269.5
	
