0.000000	14.117217
1.000000	13.319494
2.000000	10.916178
3.000000	7.640177
4.000000	4.539164
5.000000	2.543886
6.000000	2.095407
7.000000	2.998134
8.000000	4.560244
9.000000	5.949888
10.000000	6.596601
11.000000	6.448601
12.000000	5.966771
13.000000	5.861767
14.000000	6.702973
15.000000	8.589331
16.000000	11.043631
17.000000	13.186908
18.000000	14.117217
19.000000	13.319494
20.000000	10.916178
21.000000	7.640177
22.000000	4.539164
23.000000	2.543886
24.000000	2.095407
25.000000	2.998134
26.000000	4.560244
27.000000	5.949888
28.000000	6.596601
29.000000	6.448601
30.000000	5.966771
31.000000	5.861767
32.000000	6.702973
33.000000	8.589331
34.000000	11.043631
35.000000	13.186908
36.000000	14.117217
